assignmentSize	dim	rows	inspections	pivots	totTimeMS	inspectionTimeMS	prePivotTimeMS	postPivotTimeMS	ApacheM3Simplex	GLPK	WVLPSolver
5	25	10	355	11	1	1	0	0	99	127	40
5	25	10	295	9	1	1	0	0	11	23	5
5	25	10	320	10	1	0	1	0	5	31	4
10	100	20	2860	24	32	27	4	1	28	85	62
10	100	20	2580	22	11	6	3	1	30	71	28
10	100	20	2860	24	7	5	1	1	31	237	32
15	225	30	8385	33	58	23	30	5	130	263	116
15	225	30	8865	35	16	13	2	1	134	246	44
15	225	30	9600	38	2	0	1	1	134	57	35
20	400	40	20640	47	4	1	2	1	129	89	14
20	400	40	24160	55	5	2	1	1	143	66	11
20	400	40	21080	48	3	1	2	0	148	63	13
25	625	50	48500	72	6	3	2	1	338	193	28
25	625	50	43825	65	6	3	0	3	445	197	55
25	625	50	41700	62	5	2	2	1	346	120	18
30	900	60	68580	72	10	2	4	4	902	155	35
30	900	60	68700	72	10	5	2	3	898	135	42
30	900	60	66180	69	8	5	2	1	846	130	27
35	1225	70	129430	100	18	9	6	3	1977	158	48
35	1225	70	109585	85	14	7	4	3	1963	160	52
35	1225	70	120015	93	15	5	5	5	1991	165	62
40	1600	80	181200	108	26	19	3	4	4020	196	81
40	1600	80	172960	103	23	16	1	6	4940	167	74
40	1600	80	183040	109	27	13	9	5	4190	149	78
45	2025	90	274680	130	40	25	9	6	8426	212	204
45	2025	90	225945	107	40	20	13	7	8629	217	119
45	2025	90	257670	122	38	26	8	4	8010	271	154
50	2500	100	369000	142	52	38	10	3	NaN	283	166
50	2500	100	340100	131	43	27	8	8	NaN	258	171
50	2500	100	335100	129	42	31	5	6	NaN	230	159
55	3025	110	470140	150	61	40	10	11	NaN	225	239
55	3025	110	472725	151	59	40	11	8	NaN	654	225
55	3025	110	451110	144	64	39	8	16	NaN	461	229
60	3600	120	657840	177	83	52	20	11	NaN	465	310
60	3600	120	669240	180	87	56	18	12	NaN	527	308
60	3600	120	634440	171	85	56	14	14	NaN	479	309
65	4225	130	727155	167	169	103	23	43	NaN	761	419
65	4225	130	726115	167	93	59	26	8	NaN	410	410
65	4225	130	791960	182	96	64	19	13	NaN	1153	410
70	4900	140	972580	193	122	77	26	19	NaN	371	473
70	4900	140	1043000	207	134	87	28	19	NaN	429	521
70	4900	140	982240	195	123	79	31	13	NaN	371	557
75	5625	150	1200300	208	179	115	33	30	NaN	457	706
75	5625	150	1229925	213	147	93	33	20	NaN	485	583
75	5625	150	1218075	211	146	97	32	17	NaN	448	716
80	6400	160	1593920	243	207	139	48	20	NaN	603	784
80	6400	160	1422720	217	186	120	43	23	NaN	682	888
80	6400	160	1429600	218	176	112	38	26	NaN	713	863
