geomDimension	ApacheM3Simplex	GLPK	WVLPSovler	lp_solve
5	174	132	77	68
5	17	36	30	112
5	33	72	40	128
10	154	277	26	131
10	148	278	10	96
10	70	103	9	67
15	179	66	21	80
15	170	67	21	111
15	181	245	22	47
20	244	200	60	123
20	274	134	34	70
20	279	240	65	74
25	735	134	59	86
25	545	133	68	95
25	580	136	56	89
30	1354	168	133	118
30	1159	161	103	135
30	1046	157	103	117
35	2129	210	185	313
35	2330	203	157	152
35	2373	194	146	144
40	3764	226	219	264
40	4104	227	261	237
40	3611	234	248	240
45	6615	263	528	296
45	NaN	236	462	332
45	NaN	231	421	294
50	NaN	278	832	371
50	NaN	281	687	352
50	NaN	309	696	362
55	NaN	339	966	443
55	NaN	336	908	427
55	NaN	338	1155	420
60	NaN	415	1164	489
60	NaN	408	1229	536
60	NaN	399	1416	503
65	NaN	575	1838	554
65	NaN	464	2445	771
65	NaN	577	1555	598
70	NaN	613	2890	934
70	NaN	684	2654	828
70	NaN	601	2555	824
75	NaN	672	4653	914
75	NaN	714	3189	871
75	NaN	678	3731	996
80	NaN	779	5196	979
80	NaN	759	NaN	990
80	NaN	830	NaN	923
